식품명,식품대분류명,kcal,protein_g,fat_g,carb_g,sodium_mg,water_g,ash_g,sugar_g,dietary_fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,alpha_linolenic_acid_g,linoleic_acid_g,omega3_g,omega6_g,oleic_acid_mg
피자_뉴욕 오리진 피자 나폴리 (M),빵 및 과자류,244.0,12.869999999999997,11.91,21.31,511.00000000000006,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,26.85,5.37,0.25,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 더블치즈 엣지 (L),빵 및 과자류,245.00000000000003,12.94,11.94,21.38,499.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,24.54,5.67,0.26,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 더블치즈 엣지 (M),빵 및 과자류,264.0,13.84,11.66,25.840000000000003,496.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,25.5,5.72,0.25,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 더블치즈 페퍼로니 엣지 (L),빵 및 과자류,249.00000000000003,13.309999999999999,14.96,17.22,512.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,26.919999999999998,5.84,0.33,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 더블치즈 페퍼로니 엣지 (M),빵 및 과자류,267.0,14.13,13.38,19.95,507.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,26.669999999999998,5.86,0.31,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 슈퍼시드 화이버 버스트 오리지널 (L),빵 및 과자류,299.0,14.13,14.180000000000001,21.35,459.99999999999994,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,23.26,7.68,0.29,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (L),빵 및 과자류,257.0,11.9,12.869999999999997,23.25,359.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.65,5.9,0.26,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (M),빵 및 과자류,254.99999999999997,12.6,12.55,23.01,377.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,22.08,5.5,0.24,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 슈화 더블 치즈 페퍼로니 엣지 (L),빵 및 과자류,298.0,14.56,14.89,20.38,476.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,22.61,7.780000000000001,0.31,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 슈화 더블 치즈 페퍼로니 엣지 (M),빵 및 과자류,307.0,15.839999999999998,14.97,19.47,524.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,26.899999999999995,7.9,0.31,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 씬 (L),빵 및 과자류,260.0,13.449999999999998,15.43,16.78,530.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,33.01,7.73,0.35,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 씬 (M),빵 및 과자류,269.0,14.66,16.16,21.97,561.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,30.579999999999995,7.9399999999999995,0.27,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 오리지널 (L),빵 및 과자류,250.99999999999997,12.73,13.33,20.04,507.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,24.38,6.18,0.29,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 오리지널 (M),빵 및 과자류,250.0,13.239999999999998,11.19,24.06,475.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,22.91,4.99,0.25,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 치즈버스트 나폴리 (L),빵 및 과자류,270.0,12.619999999999997,17.48,15.52,538.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,33.41,8.97,0.4,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 치즈버스트 오리지널 (L),빵 및 과자류,234.0,12.47,10.94,21.32,486.00000000000006,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,28.65,5.47,0.26,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 트리플치즈버스트 엣지 (L),빵 및 과자류,242.0,12.79,0.0,0.0,491.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴욕베이컨체더 피자 (L),빵 및 과자류,247.00000000000003,5.94,0.0,0.0,425.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴욕소세지 피자 오리지널 (M),빵 및 과자류,287.0,13.4,14.14,28.4,465.00000000000006,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,19.59,4.12,0.06,0.0,0.0,0.0,0.0,0.0
